,mean,std,mean_difference,percentual_variation_base,sample_size,pooled_estimated_std,power,iteration
T3,25.510205333333335,13.105722864700553,6.3098220000000005,33.18661490774509,150,12.295723096563524,0.9578400289026349,20
T1,11.896154000000001,8.996569402544546,-7.312670000000002,-37.9184967173282,150,10.278725631071492,0.9981683819431822,21
T2,19.208824,11.409047480708034,0.0,0.0,150,11.409047480708034,,21
T3,26.363400666666664,13.498214002370412,7.154576666666666,37.583216314737165,150,12.506088265591426,0.9804749371080357,21
T1,11.198426666666668,8.501657628255261,-8.006757333333331,-41.55107121297096,150,10.068323758669978,0.9996836279832334,22
T2,19.205184,11.413824812528622,0.0,0.0,150,11.413824812528622,,22
T3,27.209647333333333,13.902427857671858,8.004463333333334,42.01818368281035,150,12.727948156306873,0.9922062918012463,22
T1,10.501248666666667,8.014543615917395,-8.709876666666668,-45.20869012878886,150,9.862806564807233,0.9999573981584957,23
T2,19.21112533333333,11.407797262401719,0.0,0.0,150,11.407797262401719,,23
T3,28.033400666666665,14.320354145327137,8.822275333333332,46.269615413505676,150,12.955132211565811,0.996596397824209,23
T1,9.798965333333333,7.5224278004676775,-9.397539333333333,-48.83104114111486,150,9.667404526589223,0.9999952750876766,24
T2,19.196504666666666,11.40906908613819,0.0,0.0,150,11.40906908613819,,24
T3,28.900303333333333,14.715937278042716,9.703798666666666,50.91149637204417,150,13.175751189592342,0.9987283568477127,24
T1,9.097773333333334,7.033209922482253,-10.105391333333333,-52.50991093176878,150,9.483114805455664,0.9999997020702743,25
T2,19.203164666666666,11.41239151873754,0.0,0.0,150,11.41239151873754,,25
T3,29.77162266666667,15.111403300460358,10.568457999999998,55.41853831964943,150,13.399122884491206,0.9995541532167809,25
T1,20.296426,14.71234453619772,-3.6871526666666665,-15.188446628363913,150,14.29369941940614,0.5754035516617696,26
T2,23.983578666666666,13.848482825572471,0.0,0.0,150,13.848482825572471,,26
T3,26.355288,13.239406549562206,2.371709333333334,10.13157577167271,150,13.557505170835357,0.3752376169738752,26
T1,19.597559999999998,14.228004558815554,-4.410223333333333,-18.184325342106074,150,14.043270540947214,0.7014523132624119,27
T2,24.007783333333336,13.842291742460139,0.0,0.0,150,13.842291742460139,,27
T3,27.191067999999998,13.651471825537895,3.1832846666666663,13.512844721642102,150,13.757598794060058,0.5105836516771047,27
T1,18.919128000000004,13.734051963062718,-5.085064,-21.01083674491798,150,13.795886634795076,0.8050180041283548,28
T2,24.004192,13.844164609098257,0.0,0.0,150,13.844164609098257,,28
T3,28.052517333333334,14.032129110207668,4.0483253333333336,17.120088804005277,150,13.948954246247109,0.6498703932336747,28
T1,18.204131333333333,13.257867191880976,-5.811936,-24.033745293593984,150,13.55704980760872,0.8896696293568002,29
T2,24.016067333333336,13.836822364628054,0.0,0.0,150,13.836822364628054,,29
T3,28.893814666666668,14.423624364767226,4.877747333333333,20.576512010602997,150,14.143832923614275,0.7629769512493934,29
T1,17.504518666666666,12.77493359125128,-6.489766,-26.880753218015435,150,13.325182469890613,0.9412622695326829,30
T2,23.99428466666667,13.84121988174819,0.0,0.0,150,13.84121988174819,,30
T3,29.74887866666667,14.824927177776752,5.754594,24.265622542001324,150,14.352487394864069,0.8539906449517431,30
T1,16.801198,12.28743201991245,-7.189923999999999,-29.816125492044602,150,13.097691736071777,0.9746547751536735,31
T2,23.991122,13.848792708911756,0.0,0.0,150,13.848792708911756,,31
T3,30.589319999999994,15.23758554157641,6.598198,27.778301522164746,150,14.570608466753322,0.915127199021707,31
T1,16.112121999999996,11.802703336583928,-7.875544666666667,-32.6806089657603,150,12.870657456250997,0.9898897653419916,32
T2,23.98766666666667,13.845266426515487,0.0,0.0,150,13.845266426515487,,32
T3,31.438671333333332,15.624290227792464,7.451004666666666,31.353407307798626,150,14.772535577641852,0.9537443982285495,32
T1,15.395704666666667,11.320180707650719,-8.583150666666665,-35.64901861452177,150,12.652106207114512,0.9965715437914787,33
T2,23.978855333333335,13.845833786204402,0.0,0.0,150,13.845833786204402,,33
T3,32.300438,16.009535514470695,8.321582666666666,35.00510768978906,150,14.977968835502871,0.976499414797897,33
T1,14.713773999999999,10.832807233562312,-9.283709333333334,-38.54759631317174,150,12.433203706837276,0.9990292319151489,34
T2,23.997483333333335,13.839686406059581,0.0,0.0,150,13.839686406059581,,34
T3,33.14693666666666,16.407842217355647,9.149453333333332,38.44366855094256,150,15.189108320686506,0.9875679342504542,34
T1,14.003548666666667,10.352686260241184,-9.977744666666666,-41.47133651981603,150,12.225541391439876,0.9997801933060949,35
T2,23.981293333333333,13.837637672421595,0.0,0.0,150,13.837637672421595,,35
T3,34.00801666666668,16.791010090736822,10.026723333333333,42.13343755577975,150,15.396566116798653,0.9939708280288913,35
T1,13.307713999999999,9.873912428071975,-10.675699333333332,-44.38646242400524,150,12.031789854709915,0.999937017160863,36
T2,23.983413333333335,13.848547826573169,0.0,0.0,150,13.848547826573169,,36
T3,34.839897333333326,17.199891027014704,10.856484,45.59537602001664,150,15.625878080207075,0.9972525126999262,36
T1,12.597158666666665,9.381085881658494,-11.398721333333333,-47.384996736291086,150,11.83493330084466,0.9999860833018378,37
T2,23.99588,13.85247543142101,0.0,0.0,150,13.85247543142101,,37
T3,35.704298,17.596427397663817,11.708418,49.12379465617216,150,15.847015025560935,0.9987726661828626,37
T1,11.900108,8.902717699407063,-12.099064666666669,-50.304904626262285,150,11.636698579858466,0.9999996429662688,38
T2,23.99917266666667,13.832775463353421,0.0,0.0,150,13.832775463353421,,38
T3,36.582477999999995,17.98646417377912,12.583305333333334,52.77710270069789,150,16.056151515827,0.9994143837684103,38
T1,11.198401333333333,8.421746461140575,-12.783297333333334,-53.19827356636386,150,11.463143278267369,0.9999999420773514,39
T2,23.981698666666666,13.844683294433839,0.0,0.0,150,13.844683294433839,,39
T3,37.394755333333336,18.391641514986734,13.413056666666668,56.28011806756754,150,16.289154481785225,0.9997699389121705,39
